1,Hydrogen,H,1.008
2,Helium,He,4.003
3,Lithium,Li,6.941
4,Beryllium,Be,9.012
5,Boron,B,10.81
6,Carbon,C,12.01
7,Nitrogen,N,14.01
8,Oxygen,O,16
9,Fluorine,F,19
10,Neon,Ne,20.18
11,Sodium,Na,22.99
12,Magnesium,Mg,24.31
13,Aluminum,Al,26.98
14,Silicon,Si,28.09
15,Phosphorus,P,30.97
16,Sulfur,S,32.07
17,Chlorine,Cl,35.45
18,Argon,Ar,39.95
19,Potassium,K,39.1
20,Calcium,Ca,40.08
21,Scandium,Sc,44.96
22,Titanium,Ti,47.87
23,Vanadium,V,50.94
24,Chromium,Cr,52
25,Manganese,Mn,54.94
26,Iron,Fe,55.85
27,Cobalt,Co,58.93
28,Nickel,Ni,58.69
29,Copper,Cu,63.55
30,Zinc,Zn,65.38
31,Gallium,Ga,69.72
32,Germanium,Ge,72.63
33,Arsenic,As,74.92
34,Selenium,Se,78.96
35,Bromine,Br,79.9
36,Krypton,Kr,83.8
37,Rubidium,Rb,85.47
38,Strontium,Sr,87.62
39,Yttrium,Y,88.91
40,Zirconium,Zr,91.22
41,Niobium,Nb,92.91
42,Molybdenum,Mo,95.96
43,Technetium,Tc,98
44,Ruthenium,Ru,101.1
45,Rhodium,Rh,102.9
46,Palladium,Pd,106.4
47,Silver,Ag,107.9
48,Cadmium,Cd,112.4
49,Indium,In,114.8
50,Tin,Sn,118.7
51,Antimony,Sb,121.8
52,Tellurium,Te,127.6
53,Iodine,I,126.9
54,Xenon,Xe,131.3
55,Cesium,Cs,132.9
56,Barium,Ba,137.3
57,Lanthanum,La,138.9
58,Cerium,Ce,140.1
59,Praseodymium,Pr,140.9
60,Neodymium,Nd,144.2
61,Promethium,Pm,145
62,Samarium,Sm,150.4
63,Europium,Eu,152
64,Gadolinium,Gd,157.3
65,Terbium,Tb,158.9
66,Dysprosium,Dy,162.5
67,Holmium,Ho,164.9
68,Erbium,Er,167.3
69,Thulium,Tm,168.9
70,Ytterbium,Yb,173.1
71,Lutetium,Lu,175
72,Hafnium,Hf,178.5
73,Tantalum,Ta,180.9
74,Wolfram,W,183.8
75,Rhenium,Re,186.2
76,Osmium,Os,190.2
77,Iridium,Ir,192.2
78,Platinum,Pt,195.1
79,Gold,Au,197
80,Mercury,Hg,200.6
81,Thallium,Tl,204.4
82,Lead,Pb,207.2
83,Bismuth,Bi,209
84,Polonium,Po,210
85,Astatine,At,210
86,Radon,Rn,222
87,Francium,Fr,223
88,Radium,Ra,226
89,Actinium,Ac,227
90,Thorium,Th,232
91,Protactinium,Pa,231
92,Uranium,U,238
93,Neptunium,Np,237
94,Plutonium,Pu,244
95,Americium,Am,243
96,Curium,Cm,247
97,Berkelium,Bk,247
98,Californium,Cf,251
99,Einsteinium,Es,252
100,Fermium,Fm,257
101,Mendelevium,Md,258
102,Nobelium,No,259
103,Lawrencium,Lr,262
104,Rutherfordium,Rf,261
105,Dubnium,Db,262
106,Seaborgium,Sg,266
107,Bohrium,Bh,264
108,Hassium,Hs,267
109,Meitnerium,Mt,268
110,Darmstadtium,Ds,271
111,Roentgenium,Rg,272
112,Copernicium,Cn,285
113,Nihonium,Nh,284
114,Flerovium,Fl,289
115,Moscovium,Mc,288
116,Livermorium,Lv,292
117,Tennessine,Ts,295
118,Oganesson,Og,294
